Previous_Semester_GPA,Midterm_Score_Average,Assignment_Score_Average,Twelfth_Grade_Percentage,Study_Hours_Per_Day,Tenth_Grade_Percentage,Attendance_Percentage,Number_of_Backlogs,Mental_Stress_Score,Distance_From_Campus_KM,CGPA
4.58,54.15,61.5,89.77,4.22,84.97,96.08,1,7,2.03,5.28
8.32,72.32,72.98,98.85,0.86,87.9,92.69,1,8,11.97,6.97
6.52,64.17,64.34,89.18,3.11,87.4,87.11,0,9,6.13,6.36
7.71,71.93,76.46,85.3,4.07,88.04,93.01,0,3,7.99,7.52
6,56.63,61.11,98.56,3.69,82.86,85.75,1,4,11.77,5.69
7.18,64.6,68.44,91.56,5.86,84.91,67.91,0,4,1.39,6.2
7.54,70.43,78.11,90.21,7,85.28,73.88,0,7,4.87,6.94
7.82,84.3,82.71,77.69,8.42,84.75,89.9,3,10,15.96,7.05
6.16,54.24,60.08,92.56,4.48,89.6,67.57,0,4,0.85,5.73
8.94,80.79,84.32,82.69,6.82,90.77,76.96,0,7,32.5,8.1
6.78,68.45,74.17,72.78,7.43,90.45,77.87,0,1,6.63,6.57
5.49,56.53,61.38,97.8,3.55,90.92,87.55,0,2,7.81,5.97
7.37,71.38,73.56,76.1,6.97,86.57,82.97,5,4,0.08,6.17
7.54,66.03,69.24,81.44,0.5,86.41,86.86,0,6,1.05,6.89
7.69,74.67,76.23,84.43,5.1,76.41,89.77,2,6,40.16,6.93
9.13,83.48,88.41,69.23,7.71,82.49,88.58,0,5,24.95,8.39
7.22,75.14,74.59,84.35,4.7,89.46,93.62,0,6,3.29,7.01
7.36,70.18,77.68,96.46,4.12,84.43,86.66,2,3,42.7,6.5
6.18,58.41,66.96,87.93,4.11,81.44,75.09,0,8,0.88,5.84
8.48,76.85,75.62,89.65,7.44,100,72.52,0,9,0.46,7.61
7.72,66.65,69.88,63.98,1.32,93.68,89.02,0,2,4.19,6.91
7,63.08,67.16,80.51,3.72,93.05,83.92,0,7,3.99,6.33
5.21,58.74,62.31,70.76,6.18,79.52,84.84,4,4,0.63,4.9
9.23,84.18,77.27,64.15,5.14,85.66,78.38,1,9,2.13,7.77
6.03,68.2,70.6,88.46,6.87,79.9,84.3,0,3,0.97,6.59
6.79,63.68,67.92,86.52,5.86,85.15,69.78,0,4,0.95,6.5
7.93,68.06,63.35,83.8,3.56,88.97,70.93,0,6,18.43,6.93
6.06,68,71.01,71.85,5.66,90.8,100,0,2,6.36,6.66
5.71,48.05,60.02,83.43,1.86,91.03,63.41,2,10,6.67,4.68
4.95,45.46,53.45,79.13,0.5,87.12,74.55,0,8,1.94,4.54
8.37,69.55,71.06,85.84,3.28,85.06,73.23,0,3,2.93,6.88
6.85,62.98,67.51,87.26,4.66,83.61,73.23,0,2,9.94,6.41
10,78.05,80.93,81.96,2.88,88.11,80.32,0,10,8.02,8.1
6.31,62.67,65.19,92.63,4.85,89.5,71.83,0,9,5.85,6.16
6.39,58.89,66.62,86.85,4.62,92.81,91.97,0,5,2.55,6.46
6.82,54.98,59.87,95.52,0.78,85.13,85.77,0,4,10.96,6.03
7.79,70.68,70.3,69.01,3.42,86.99,89.48,0,9,1.01,6.83
6.94,77.36,65.4,80.86,6.38,77.94,87.46,0,1,2.96,6.76
8.23,71.07,73.3,98.17,5.47,83.8,77.94,0,4,16.07,7.49
6.33,62.1,56.24,80.34,3.11,97.35,77.1,0,5,9.46,5.98
5.84,75.51,67.42,88.59,5.74,69.77,98.15,2,3,9.57,6.03
5.34,63.24,68.81,95.67,8.01,87.41,86.13,1,4,1.48,6.18
4.83,52.74,48.04,91.73,3.65,87.24,86.21,0,6,2.28,4.61
6.88,66.66,73.67,89.39,5.98,83.41,85.98,0,10,4.87,6.98
7.14,76.43,66.5,94.32,5.67,73.54,85.87,0,4,0.97,7.02
6.74,67.62,62.38,79.29,3.55,86.62,70.49,0,9,7.43,6.16
8.99,76.72,73.66,69.45,2.23,94.02,88.74,2,6,16.22,7.35
8.97,74.66,86.97,86.6,7.8,92.75,100,1,7,4.04,8.2
7.1,70.92,75.81,81.99,6.68,86.95,85.7,0,10,8.76,6.52
5.35,65.25,59.99,85.75,3.94,98.48,100,1,7,2.11,5.91
6.82,74.38,78.6,78.83,6.93,90.83,86.44,1,9,10.06,6.69
6.78,65.79,70.94,100,5.61,72.74,88.03,0,8,2.9,6.69
6.71,66.73,70.43,70.32,6.91,91.32,88.23,0,3,10.22,6.94
6.66,49.61,58.59,81.84,0.91,98.02,65.6,0,2,12.29,5.72
6.72,63.7,60.99,72.41,3.68,88.15,69.88,0,1,1.27,5.96
7.04,77.72,75.42,100,7.65,83.8,83.22,0,10,1.12,7.2
6.74,88.45,79.95,81.09,9.8,91.52,100,0,4,1.52,7.56
7.75,72.28,72.63,100,3.72,82.86,80.38,1,4,15.13,6.62
7.93,72.21,76.68,99.43,3.69,78.58,90.2,0,3,6.26,7.15
6.41,64.93,63.04,84.21,5.87,81.8,75.65,0,5,7.58,6.04
9.03,87.01,81.42,95.12,5.19,86.35,94.48,0,4,9.88,8.21
6.32,63.64,66.15,92.77,5.57,91.07,70.28,0,9,7.16,5.76
5.56,50.41,53.91,92.88,0.5,96.84,95.81,0,5,13.36,5.35
7.96,79.42,64.88,83.99,4.02,91.56,84.6,2,4,2.88,6.86
6.52,69.88,64.22,87.82,6.11,62.26,83.13,4,1,1.57,5.71
7.89,62.14,67.54,100,0.5,86.07,91.91,0,3,0.65,7.16
4.62,54.2,52.12,83.53,1.27,69.49,98.5,0,1,0.85,5.12
9.17,67.78,74.52,86.77,0.95,87.09,69.4,0,3,4.22,7.6
8.31,80.53,80.71,82.28,5.8,87.73,91.87,2,6,20.06,7.3
5.7,41.97,55.42,75.48,2.64,87.87,68.44,0,6,4.61,5.93
5.73,55.53,53.88,89.93,2.1,100,78.3,0,9,6.25,5.52
9.51,70.98,77.06,66.47,4.61,89.58,59.8,2,6,4.22,7.59
6.62,63.84,60.75,96.73,2.02,80.01,82.31,0,3,4.15,6.26
6.5,61.9,70.95,74.42,5.4,87.33,87.01,0,9,26.3,6.16
4.78,62.14,67.74,80.29,9.33,84.82,94.59,0,2,9.57,5.86
7.08,62.88,71.78,86.94,3.76,80,88.18,0,5,4.51,6.7
7.23,67.14,62.8,82.53,0.61,96.83,85.53,2,7,4.4,5.85
8.36,76.6,80,89.87,3.59,96.58,94.29,1,3,5.42,7.28
5.82,69.51,63.4,90.96,5.48,87.79,98.46,4,4,8.46,5.96
5.68,56.58,59.5,73.97,5.28,100,95.49,5,2,4.69,5.24
8.04,75.81,75.76,85.68,6.18,84.98,100,0,8,19.81,7.68
8.71,74.57,71.99,78.59,3.31,92.15,79.66,1,7,0.96,7.56
5.61,63.46,57.47,94.53,3.94,90.57,97.79,0,7,2.83,5.91
8.8,61.96,68.92,100,0.5,95.67,70.33,0,6,5.68,7
7.55,76.3,77.16,88.72,5.73,99.18,72.54,1,7,10.45,6.72
8.81,69.74,75.46,67.37,1.88,84.75,84.86,0,6,6.59,7.18
7.42,73.68,69.14,87.12,4.9,90.1,80.21,4,9,6.7,6.29
4.47,51.59,58.36,73.78,2.76,100,92.05,0,9,14.44,4.97
7.32,66.58,65.4,85.15,4.33,79.36,89.57,1,7,3.01,6.57
8.77,86.67,87.99,94.62,6.42,97.83,100,0,3,0.82,8.42
6.43,63.13,65.35,73.72,3.63,86.24,90.43,0,3,5.38,6.33
7.03,70.39,70.6,90.56,3.02,86.9,89.7,2,10,2.41,6.43
7.29,68.85,71.11,92.58,4.51,78.39,73.64,0,6,16.43,6.42
4.02,39.32,43.5,78.22,3.22,79.98,82.46,1,4,4.81,3.99
9.51,74.31,78.04,57.65,2.62,86.51,94.27,0,6,4.98,7.92
6.42,70.4,70.45,93.73,8.23,80.15,100,0,8,3.44,7.14
8.11,68.66,74.13,81.71,0.79,91.93,76.58,0,5,9.22,6.87
7.4,65.22,76.46,85.71,5.81,91.73,96.77,0,4,0.22,7.02
9.01,76.29,80.53,92.1,4.23,90.04,85.16,0,8,2.77,7.63
7.99,74.98,66.54,92.88,2.85,83.98,86.19,0,2,0.07,7.71
7.22,71.85,66.46,74.48,5.19,79.34,76.81,0,4,2.29,6.44
6.43,61.38,59.27,86.33,4.57,91.12,80.22,0,6,10.61,5.98
8.46,81.7,82.14,78.69,7.14,86.25,84.09,1,4,11.31,7.31
5.25,43.35,56.73,90.22,2.23,87.66,93.84,0,5,2.89,5.15
8.28,66.41,77.65,94.24,3.47,93.07,100,0,10,23.13,7.18
6.18,70.51,69.59,89.41,6.52,89.39,80.17,0,8,14.34,6.64
9,79.95,69.07,90.17,4.09,85.17,79.48,0,6,3.8,7.53
7.69,77.77,69.46,79.27,5.59,100,92.53,1,7,6.41,7.35
8.27,84.3,73.91,82.29,6.93,82.29,82.53,0,5,8.51,7.74
7.6,69.9,75.1,100,5.62,77.48,95.7,1,1,0.9,6.9
5.4,59.29,53.3,87.65,3.28,87.58,91.37,0,3,7.12,5.38
6.47,66.79,57.47,90.65,3.8,85.81,79.09,0,3,12.96,6.13
8.31,76.93,87.47,90.1,6.95,90.44,94.24,0,1,9.11,7.63
7.7,64.17,75.15,88.42,4.81,79.41,89.98,1,4,6.13,6.84
8.92,72.8,76.1,80.96,4.09,74.47,82.74,1,5,8.61,7.23
7.98,77.27,79.99,83.03,5.27,97.23,89.65,0,10,0.08,7.68
6.34,55.58,53.41,88.17,1.93,93.13,75.1,0,3,2.96,5.91
6.54,55.04,64.19,71.26,4.03,92.58,80.95,0,5,14.66,5.92
7.62,75.1,69.5,87.45,4.34,79.99,92.87,0,9,1.95,6.96
4.72,47.92,53.42,79.76,4.31,86.03,82.3,1,4,9.48,4.76
9.51,85.29,85.86,92.11,3.71,87.78,89.51,0,5,1.22,8.25
8.03,77.77,73.76,95.74,3.88,100,70.45,0,10,1,7.14
8.97,74.09,77.24,100,4.27,82.97,84.39,1,10,9.12,7.9
5.6,59.54,64.02,100,7.42,93.88,87.44,0,9,3.04,5.87
8.99,74.22,76.55,94.12,0.5,79.64,78.78,0,7,7.21,7.51
10,90.22,87.19,80.18,5.9,89.18,86.12,0,3,6.07,8.7
5.91,58.1,62.24,89,4.33,99.45,87.24,0,3,24,6.06
8.43,70.04,75.54,66.85,4.38,96.42,74.74,0,4,19.96,7.28
7.5,59.91,61.5,93.44,3.69,88.34,56.65,3,5,1.1,6.01
5.65,55.01,65.57,74.24,5.5,77.08,75.92,0,6,1.37,5.6
8.09,74.33,76.38,95.67,6.4,84.34,63.95,0,8,2.55,7.33
8.5,62.43,72.56,95.3,0.71,81.06,92.26,0,1,9.1,7.33
6.78,70.9,76.85,74.7,8.69,85.08,96.32,2,5,2.44,6.69
8.9,70.28,86.13,87.14,4.79,95.21,73.27,2,8,7.63,7.36
5.5,61.47,64.93,68.59,4.72,83.95,74.37,0,4,6.89,5.4
5.71,47.11,56.28,73.16,1.71,100,81.26,0,6,5.68,5.73
7.66,71.83,62.93,88.21,3.36,77.58,78.32,1,10,0.52,6.87
7.53,77.91,77.82,100,7.22,93.27,77.48,1,9,5.69,6.93
6.64,59.26,52.73,74.27,4.64,80.65,67.78,0,3,6.5,5.91
8.47,77.93,78.76,100,5.33,88.11,84.46,0,4,8.71,7.66
8.14,70.83,72.86,91.71,3.58,81.6,75.79,0,2,17.57,7.32
8.53,87.83,87.34,85.78,8.44,100,69.25,0,5,21.12,7.59
7.35,70.4,76.81,71.01,4.19,89.45,80.1,1,7,3.48,6.31
8.22,77.82,78.52,73.89,6.76,77.15,86.33,5,4,5.07,6.82
6.97,67.21,69.62,87.7,4.2,79.67,82.75,2,1,8.66,6.54
9.96,75.47,84.51,77.35,5.2,80.19,90.03,2,7,12.27,8.26
6.52,68.07,73.01,77.48,5.2,92.65,100,0,6,10.64,6.88
10,78.67,87.55,81.32,6.35,83.72,84.5,0,6,0.95,8.52
7.54,68.06,83.5,70.71,5.98,90.82,99.02,0,1,5.56,6.99
5.85,61.15,67.65,82.39,3.55,95.56,70.81,1,1,0.7,5.51
9.14,72.79,77.7,76.62,6.82,77.11,51.79,1,10,60,7.45
7.65,67.22,74.43,93.31,2.52,100,76.51,3,5,0.01,6.62
8.52,66.19,63.93,88.38,2.13,78.96,80.91,2,5,13.49,6.76
8.97,69.09,72.55,78.54,3.92,97.97,72.98,0,6,0.88,7.44
7.91,82.57,74.5,96.19,5.29,87.21,91.16,0,5,4.09,7.48
6.79,57.18,68.59,92.79,2.46,100,78.79,0,2,1.35,6.34
8.67,74.61,77.64,82.99,4.34,84.37,83.24,0,1,1.78,7.27
7.5,73.07,66.96,69.3,1.73,84.44,84.61,0,1,28.7,6.82
8.32,69.06,75.47,83.93,3.96,93.04,97.15,0,6,5.61,7.31
4.92,57.98,60.66,91.5,6.44,80.02,78.84,0,4,9.84,5.18
8.04,65.67,68.54,93.56,2.81,77.83,80.05,0,6,7.66,6.86
6.73,58.18,61.92,81.26,2.06,93.85,97.28,0,5,5.64,6.5
9.48,88.13,85.68,86.75,5.26,95.71,99.69,0,10,1.34,8.28
8.25,78.48,73.95,94.49,2.92,96.92,99.65,0,7,12.39,7.66
7.79,90.02,81.34,83.02,9.35,93.47,99.15,0,8,11.74,7.55
8.08,75.47,69.24,78.82,4.88,82.77,61.66,0,10,0.76,7.2
6.3,67.54,64.6,91.77,6.55,89.48,75.17,0,9,12.26,6.56
9.45,81.38,79.51,89.58,1.87,80.21,100,0,2,23.83,7.98
9.89,87.03,80.81,83.47,5.41,100,90.66,0,1,2.85,8.51
7.97,72.11,75.83,92.23,2.49,92.05,100,0,4,3.61,7.13
9.41,83.67,95.2,77.2,4.14,94.03,94,0,7,14.06,8.43
6.82,62.73,65.85,85.35,3,91.71,90.22,0,1,14.18,6.63
6.54,58.18,69.61,78.7,6.58,85.32,90.56,1,6,11.66,6.34
7.55,80.96,71.67,91.76,5.14,100,83.47,0,6,8.82,7.37
8.02,65.02,81.92,85.59,4.73,88.87,85.39,0,5,5.35,7.03
7.03,74.36,65.93,70.37,7.22,98.09,73.74,0,8,16.64,6.57
8.15,72.89,70.77,98.97,4.53,85.81,79.49,0,4,13.15,7.42
7.87,77.6,80.54,92.49,6.56,100,80.64,3,7,2.23,7
6.3,70.04,70.94,91.11,8.1,91.77,88.74,0,3,2.51,6.44
8.12,75.34,79.43,89.11,4.78,84.56,92.27,1,6,2.79,7.56
8.54,75.66,77.26,98.28,5.02,80.14,94.44,0,9,15.91,7.57
7.71,78.16,80.52,89.23,6.41,96,100,0,8,3.02,7.39
8.88,86.1,86.6,73.96,7.37,87.24,94.46,1,3,3.45,8.26
6.04,51.55,67.15,86.93,4.76,78.25,92.91,1,8,14.72,6.01
8.06,65.23,62.5,83.57,3.23,85.05,71.72,2,7,12.53,6.34
6.1,57.37,56.89,81.14,6.23,85.5,68.89,0,7,5.55,6.24
6.16,61.69,69.24,97.62,5.64,81.28,88.63,0,3,6.51,6.03
6.74,66.17,67.56,100,6.21,98.25,81.97,3,2,2.54,6.29
6.37,62.76,69.26,91.77,5.9,83.06,86.47,0,5,6.19,6.53
6.84,65.04,70.77,80.26,4.91,83.75,74.05,0,4,2.29,6.04
7.24,70.45,75.75,100,5.03,86.94,85.09,0,6,6.83,6.73
8.5,73.37,83.84,68.58,5.9,91.54,80.05,0,10,9.16,7.56
7.11,62.54,61.48,83.88,1.6,88.22,89.62,0,2,7.66,6.49
5.6,59.46,62.43,88.84,7.16,100,91.02,3,8,2.47,5.44
8.87,76.85,82.16,73.33,5.4,88.35,88.21,2,1,17.08,7.74
6.5,52.84,57.9,78.51,2.81,100,73.75,0,3,12.41,5.65
7.43,75.31,68.05,80.89,4.87,93.28,83.62,0,2,6.1,6.96
8.04,80.06,83.39,93.05,7.14,87.08,100,0,5,11.74,8.18
7.74,75.22,77.32,86.84,5.08,92.59,79.93,0,4,5.34,7.09
8.81,77.63,73.27,85.78,3.04,90.21,78.26,0,9,0.53,7.44
8.07,62.35,74.32,81.88,1.95,93.44,92.73,2,6,9.47,6.37
6.47,61.49,73.21,90.05,9.43,82.64,79.4,0,8,7.6,6.7
10,69.5,83.12,96.02,1.02,84.87,76.01,2,6,8.96,7.86
7.73,73.79,75.52,84.22,5.17,83.45,78.12,0,2,3.57,7.12
7.32,63.73,67.68,93.46,3.33,97.19,94.7,2,3,29.7,6.51
8.66,75.87,82.13,94.33,6.58,100,83.09,0,3,1.63,8.3
7.8,66.43,71.81,82.58,2.07,84.96,93.1,0,4,0.61,6.98
7.98,74.06,83.22,88.22,7.72,79.24,96.82,0,4,0.42,7.85
10,86.78,79.12,92.73,4.25,79.64,80.66,0,5,2.43,8.49
7.17,65.5,69.84,80.41,4.06,97.23,83.41,0,1,16.63,6.21
7.12,65.59,66.13,89.76,3.87,83.98,82.65,1,5,13.02,6.74
7.64,61.04,74.53,90.7,3.31,88.31,77.03,0,9,32.92,6.3
8.79,77.01,84.63,76.19,3.76,92.23,95.03,1,1,3.37,7.55
5.69,53.94,66.18,80.16,5.94,95.82,80.77,0,2,11.04,5.81
5.14,46.52,46.92,79.91,1.06,74.37,74.62,0,10,18.53,4.62
6.8,62.89,66.72,77.77,3,86.62,100,0,2,3.91,6.57
5.54,65.35,63.06,97.73,7.49,90.49,82.72,0,8,0.04,5.81
6.99,73.72,77.35,87.94,4.32,74.57,84.38,0,7,0.44,6.83
8.1,70.75,76.22,90.97,3.36,80.22,79.24,2,1,0.77,7.25
6.43,57.35,43.78,100,1.95,95.79,73.5,0,5,3.1,5.78
5.79,57.5,56.6,74.42,2.16,79.14,70.07,0,2,14.89,5.78
7.58,76.5,83.43,91.51,6.46,98.59,93.65,2,10,0.26,6.92
8.54,70.15,73.91,70.37,2.85,91.59,79.34,0,10,11.54,7.15
5.47,55.02,58.02,78.46,6.11,98.12,63.89,0,2,5.03,5.77
8.48,70.49,67.58,92.31,2.54,88.83,76.82,1,8,1.87,7.33
8.48,83.11,74.6,79.35,4.25,90.72,82.15,0,9,6.12,7.36
8.64,72.98,77.83,96.15,4.36,80.68,77.58,0,3,2.5,7.7
8.96,79.34,70.13,78.16,2.99,81.6,89.97,0,10,15.34,7.6
10,83.94,89.42,94.4,4.65,85.85,80.78,0,6,8.97,8.66
7.07,60.57,59.12,100,0.5,91.4,93.58,2,1,0.14,6.07
7.63,74.09,67.38,85.94,4.32,90.5,93.65,1,1,28.11,6.73
7,67.09,71.52,91.3,5.39,80.24,74.96,0,8,1,6.19
7.5,65.02,67.14,94.2,2.83,88.7,77.7,0,6,1.84,6.75
9.34,76.74,84.9,100,4.93,81.83,95.56,2,1,10.54,7.78
5.89,60.54,64.29,82.18,4.81,82.04,87.84,0,7,28.67,5.81
6.47,66.24,70.2,89.54,4.89,72.18,91.96,0,5,1.44,6.53
9.15,85.24,73.62,100,1.81,100,91.99,0,9,11,7.91
8.72,72.57,84.84,88.73,4.69,91.45,78.19,0,1,15.69,7.69
7.06,66.63,66.07,93.31,1.06,97.8,100,0,9,1.56,6.57
8.53,64.28,72.74,93.66,3.24,75.78,94.85,0,8,14.48,7.06
7.91,61.61,70.01,84.96,4.49,83.88,80.76,1,3,8.36,6.67
9.3,81.78,82.69,70.46,4.92,81.25,95.35,0,9,6.3,8.01
7.59,70.42,66.96,92.77,2.08,85.75,83.86,2,10,8.67,6.7
8.73,82.18,76.45,74.6,3.93,93.57,86.21,1,8,3.11,7.6
10,81.75,90.6,93.72,6.09,86.67,78.8,0,9,1.06,8.34
8.22,57.5,62.99,83.77,2.54,85.19,76.13,1,5,0.04,6.48
7.56,61.32,68.86,85.81,0.5,94.21,92.74,0,7,10.57,6.76
8.37,76.79,80.5,85.37,5.56,88.22,78.03,0,7,1.54,7.75
7.06,66.19,61.26,81.93,2.62,82.55,77.24,0,4,1.83,6.31
10,85.67,83.49,88.58,3.22,95.05,81.81,0,9,5.96,8.37
7.72,69.47,73.61,75.23,4.76,90.43,74.23,0,9,14.39,6.95
7.17,80.87,66.6,90.88,4.65,75.38,85.51,0,3,8.34,6.83
6.5,62.76,69.52,71.41,6.54,94.97,79.82,5,10,5.45,5.7
8.82,88.77,81.52,88.76,4.02,97.49,94.99,1,7,14.48,8.25
8.54,81.58,74.62,74.15,4.64,83.3,95.28,0,1,2.26,7.83
6.9,60.82,58.55,73.85,1.11,88.37,84.85,4,2,7.28,5.74
8.19,74.27,70.23,74.83,5.76,69.37,76.64,0,1,1.65,7.27
5.69,55.44,58.92,78.89,3.12,73.73,82.96,0,4,12.14,5.71
7.72,77.59,72.84,87.18,10.96,86.15,81.31,0,2,1.77,7.48
8.04,67.86,72.72,91.39,4.07,94.34,100,0,2,2.45,7.36
9.55,77.7,82.79,75.09,5.35,82.1,81.66,0,3,4.46,8.04
6.58,74.87,66.22,78.46,5.78,83.78,87.28,1,6,5.6,6.45
5.97,65.62,66.68,71.26,4.32,92.74,91.46,0,5,1.09,5.86
6.43,55.06,65.42,95.99,5.37,96.78,99.52,0,9,6.48,6.16
5.9,72.94,70.07,81.36,9.01,95.75,81.47,0,8,16.37,6.47
9.1,77.59,79.13,84.01,2.99,94.79,70.32,0,10,2.66,7.71
9.36,72.33,70.04,84.85,0.5,79.39,86.23,0,9,6.52,7.58
7.88,71.63,78.2,87.94,1.89,81.81,96.34,0,8,0.23,7.15
8.97,85.9,82.95,76.12,6.49,85.13,88.83,0,10,22.19,8.3
7.66,70.24,70.14,71.18,3.54,79.56,79.51,2,6,14.53,6.33
7.39,79.75,74.46,72.1,9.16,87.64,81.63,0,6,46.61,7.16
7.1,63.29,77.75,95.21,5.95,84.52,76.42,2,3,4.74,6.21
7.13,67.28,68.01,82.94,3.19,83.96,82.72,0,6,5.12,6.43
5.64,61.91,53.92,85.69,2.94,87.38,76.3,3,1,6.54,4.94
7.82,75.14,68.71,87.99,3.61,78.85,88.9,0,5,12.97,7
7.45,62.15,67.26,82.91,0.5,100,90,0,5,3.63,6.77
8.39,75.85,74.62,77.34,5.06,89.12,85.85,0,7,1.53,7.81
7.61,65.5,78.5,80.21,5.89,94.99,93.77,0,9,16.31,7.29
7.3,66.43,70.36,78.49,2.57,89.19,97.27,0,2,2.29,6.89
6.45,64.17,59.31,75.98,1.4,79.81,99.41,1,8,7.79,5.97
7.59,66.05,72.09,100,2.68,97.84,86.28,3,8,8.09,6.56
8.39,71.61,76.02,78.85,6.49,92.65,79.57,0,8,2.29,7.09
6.13,55.36,58.42,89.34,6.11,86.97,63.06,0,1,3.84,5.89
7.6,71.67,71.42,84.17,4.93,85.84,80.45,0,2,9.47,6.64
7.78,75.35,75.59,67.43,7.78,88.55,72.25,3,2,0.23,6.64
6.64,59.32,63.96,87.36,1.12,81.31,85.28,2,3,8.16,5.59
6.79,59.91,65.65,89.76,4.08,90.75,93.12,0,1,1.63,6.41
7.78,61.92,80.18,68.12,5.62,89.7,92.42,1,3,6.63,6.85
6.14,64.31,72.8,76.23,6.08,77.63,93.26,0,7,7.38,6.4
7.92,62.32,69.88,88.27,6.11,86.72,70.1,1,5,4.91,6.87
6.43,47.14,63.98,89.58,5.95,82.35,70.27,1,3,4.77,5.63
8.78,77.99,83.12,100,7.14,84.72,97.86,1,6,4.33,8.02
10,75.86,80.44,79.61,6.02,87.34,64.76,0,10,9.79,8.11
6.47,60.03,66.24,91.18,2.19,89.71,91.98,1,5,2.03,6.11
8.14,77.12,73.01,83.68,3.59,81.17,83.1,0,1,2.72,7.26
6.63,54.31,60.72,77.54,1.11,82.72,81.65,0,5,5.03,5.87
8.75,77.53,82.46,72.56,6.49,98.64,86.96,0,8,11.63,7.56
5.98,71.02,71.75,90.33,6.89,77.81,100,0,1,6.84,6.69
8.08,60.49,70.5,86.11,2.06,79.93,77.06,0,3,0.18,6.71
6.45,64.29,67.47,81.13,3.74,83.86,80.99,0,3,8.53,6.26
7.25,58.32,62.87,76.55,0.99,77.66,96.23,0,9,9.58,6.42
6.26,65.19,62,78.85,4.26,84.73,76.22,0,2,7,6.18
8.49,82.54,74.99,76.35,2.85,87.9,93.48,0,6,17.03,7.45
6.5,54.63,58.39,87.46,2.16,84.3,84.55,1,2,4.11,5.81
8.16,64.59,77.43,86.76,4.45,71.45,62.59,2,5,20.19,7.03
7.09,69.86,75.34,80.64,8.26,94.69,86.15,3,6,24.73,6.67
7.36,65.85,74.93,81.83,6.09,83.77,85.89,0,1,11.28,7.16
7.68,78.05,70.1,82.15,4,83.15,87.15,0,5,23.03,7.42
6.59,59.17,71.09,100,4.4,72.55,91.92,0,7,5.29,6.39
7.75,84.05,79.38,86.11,8.26,91.66,90.94,0,9,8.54,7.73
9.34,89.01,92.34,90.84,7.02,91.93,85.05,0,9,2.23,8.61
6.57,59.3,69.85,68.63,3.88,88.05,96.44,1,1,9.35,6.44
8.91,87.96,81.7,70.08,5.5,91.59,81.27,0,9,26.43,8.14
9.3,64.15,79.82,64.98,2.5,84.73,87.9,0,3,30.73,7.58
6.52,65.25,59.6,81.28,4.55,99.15,76.26,0,5,7.12,6.17
5.75,52.19,55.16,86.64,6.03,95.77,64.4,0,8,3.68,5.77
7.86,71.22,77.02,92.16,6.54,85.05,77.18,0,9,16.49,7.16
6.84,64.49,67.08,84.72,3.22,86.34,86,0,10,14.15,6.38
9.74,74.79,91.02,76.32,6.5,72.2,68.95,1,7,7.59,8.18
7.54,76.63,76.84,83.21,4.8,83.15,76.09,1,10,14.75,7.03
6.54,70.14,67.5,83.95,3.92,88.35,100,0,6,15.96,6.69
6.12,71.02,76.74,73.67,8.32,87.35,82.14,0,7,8.2,6.33
8.81,75.96,74.05,84.87,3.78,73.87,89.54,0,9,11.72,7.54
6.81,56.55,62.8,97.1,2.28,93.95,76.33,0,8,24.88,6.14
7.55,61.41,66.35,82.4,3.16,100,71.25,0,5,5.54,6.46
8.65,83.46,77.48,91.28,5.95,70.24,74.84,0,2,9.99,7.46
6.92,56.79,69.73,87.64,2.53,97.32,95.62,1,1,0.97,6.64
7.44,82.97,74.91,72.68,6.16,98.65,82.08,0,4,0.22,6.78
7.48,68.73,60.16,95.45,2.79,89.18,86.22,1,3,5.34,6.6
8.32,71.68,75.42,87.65,4.35,90.48,77.89,0,10,2.8,6.98
8.21,89.64,81.71,66.51,8.92,92.65,92.44,4,6,0.64,7.6
7.24,76.3,65.45,77.73,2.73,98,99.06,0,3,1.99,7.07
7.58,61.82,68.2,87.44,0.5,96.13,100,0,2,6.97,6.38
7.05,79.24,78.68,71.03,7.23,85.91,91.51,0,1,2.22,6.97
5.73,56.86,51.59,78.5,1.7,81.32,75.32,0,4,4.68,5.19
7.81,65.26,64.12,77.03,2.88,94.06,66.24,2,5,9.88,6.23
9.77,90.59,88.93,77.87,5.96,99.02,98.2,0,8,23.37,8.95
6.44,65.19,62.15,85.31,5.88,97.66,66.52,0,3,16.2,6.17
6.57,54.58,58.39,86.7,0.5,74.7,84.28,0,7,5.6,5.68
6.46,59.87,59.02,86.75,3.81,97.55,95.17,3,7,6.5,5.61
8.37,83.77,80.86,89.45,6.2,90.45,100,0,8,1.45,7.94
8.04,76.61,79.87,94.39,8.56,92.59,76.01,2,3,12.69,7.27
7.31,68.99,69.39,93.03,2.02,76.11,86.59,0,1,35.15,6.93
6.4,68.59,65.62,75.56,6.64,89.13,83.78,0,6,15.74,6.05
7.61,57,73.25,90.45,3.18,89.31,77.73,0,6,4.04,6.69
5.62,70.34,68.04,69.16,6.58,86.93,97.44,0,4,0.95,6.06
7.67,74.23,80.77,96.42,2.42,91.91,90.7,0,1,10.19,7.37
8.55,84.76,79.14,91.96,4.04,86.63,73.09,0,2,8.91,7.87
6,65.79,70,84.59,5.27,72.4,83.01,0,5,24.79,6.25
5.66,58.42,62.61,76.92,6.41,82.59,81.22,0,5,2.21,6.4
9.4,84.49,91.09,92.28,5.64,92.19,89.35,0,6,13.8,8.51
